shoot_id,batch,status,priority,content_type,title,what_it_shows,linked_milestone,target_platform,target_duration,location,planned_shoot_date,planned_publish_date,props_equipment,outfit_notes,coach_needed,script_link,raw_footage_link,edited_link,published_url,notes
YT-09,YouTube Tutorials (Series 1),Planned,Low,YouTube Tutorial,How to Float on Your Back If You've Always Sunk,Why people sink; lung-volume framing; coach-assisted progression,M12 Back Float,YouTube long-form,4-6 min,Pool,,,None,Standard,Yes,,,,,Trauma-informed angle - very shareable
YT-10,YouTube Tutorials (Series 1),Planned,Low,YouTube Tutorial,A Day in a SwimBuddz Cohort Class,Behind-the-scenes; coach + students; community feel,,YouTube long-form,6-8 min,Pool,,,Multi-camera,Standard,Yes (full cohort),,,,,Schedule for week 6 of cohort - need consent forms
SOC-01,Social Shorts,Planned,Medium,Reel/Short,Adult Learner Truth - It's Not Too Late,Hook + reframe; stat or quote; cohort enrollment CTA,,IG/TikTok/YT Shorts,30-45s,Pool deck,,,None,Standard,Optional,,,,,Re-edit from MS-14 footage
SOC-02,Social Shorts,Planned,Medium,Reel/Short,Stop Lifting Your Head to Breathe,Mistake demo; correct rotation; before/after,M11,IG/TikTok/YT Shorts,15-30s,Pool,,,None,Standard,Yes,,,,,Cut from YT-02 footage
SOC-03,Social Shorts,Planned,Medium,Reel/Short,Knee Kick vs Hip Kick - 30 second test,Side-by-side; underwater shot; punchline,M5/M6,IG/TikTok/YT Shorts,30s,Pool,,,Kickboard,Standard,Yes,,,,,Cut from YT-03 footage
SOC-04,Social Shorts,Planned,Medium,Reel/Short,The 3-Second Recovery Every Adult Should Know,Tuck-press-rotate; calm framing; safety angle,M3,IG/TikTok/YT Shorts,30s,Pool,,,None,Standard,Yes,,,,,Cut from MS-03 footage
SOC-05,Social Shorts,Planned,Low,Reel/Short,POV - First Time Putting Your Face in the Water,POV/over-shoulder; honest emotion; coach support visible,M2,IG/TikTok/YT Shorts,30-45s,Pool,,,GoPro/POV camera,Standard,Yes,,,,,Highly shareable - get cohort student consent
SOC-06,Social Shorts,Planned,Low,Reel/Short,12 Weeks 14 Milestones - Cohort Recap,Montage of MS-01 to MS-14 in order,All milestones,IG/TikTok/YT Shorts,60s,N/A (edit only),,,None,N/A,No,,,,,Edit-only - reuses milestone footage; publish at cohort end
ML-01,Common Adult Learner Mistakes,Planned,Medium,Reel/Short,Stop Holding Your Breath - Exhale Underwater,Demo: holding breath then panicking vs slow exhale; bubbles visible,M2 Controlled Breathing,IG/TikTok/YT Shorts,30s,Pool,,,None,Standard,Yes,,,,,Underwater shot of bubbles is the hook
ML-02,Common Adult Learner Mistakes,Planned,Medium,Reel/Short,You're Reaching Too Short,Side-by-side short-arm vs full-extension freestyle stroke,M11 25m Freestyle,IG/TikTok/YT Shorts,30s,Pool,,,None,Standard,Yes,,,,,Mark target reach point on pool deck
ML-03,Common Adult Learner Mistakes,Planned,Medium,Reel/Short,Tense Body Tense Swim,Demo: tense gripping arms vs relaxed; how tension makes you sink,General,IG/TikTok/YT Shorts,30s,Pool,,,None,Standard,Yes,,,,,Pair with TS-02 trauma-informed angle
ML-04,Common Adult Learner Mistakes,Planned,Medium,Reel/Short,Skipping the Streamline Wastes 2 Meters,Push-off without streamline vs with; measured difference,M4 5m Glide from Wall,IG/TikTok/YT Shorts,30s,Pool,,,None,Standard,Yes,,,,,Add visible distance markers in edit
ML-05,Common Adult Learner Mistakes,Planned,Medium,Reel/Short,Look Down Not Forward,Head-up freestyle vs head-neutral; hip drop visible underwater,M11 / Body Position,IG/TikTok/YT Shorts,30s,Pool,,,None,Standard,Yes,,,,,Underwater side angle is essential
TS-01,Trauma-Informed Water Safety,Planned,High,YouTube Tutorial,The Back Float Reset - What to Do If You Panic,Step-by-step rollover to back float; calm breath; recovery,M12 Back Float,YouTube long-form,4-6 min,Pool,,,None,Standard,Yes (spotter),,,,,Anchor video for the series - high share potential
TS-02,Trauma-Informed Water Safety,Planned,High,Reel/Short,Why Your Body Reacts to Water - It's Not Weakness,Voiceover + B-roll; nervous system framing; reframe the fear,General,IG/TikTok/YT Shorts,45-60s,Pool deck,,,None,Standard,Optional,,,,,Creator on-camera voiceover - authentic delivery matters
TS-03,Trauma-Informed Water Safety,Planned,Medium,Reel/Short,Step 1 to Beating Water Fear - Control Your Exhale,Slow exhale demo at pool edge; build before submerging,M2,IG/TikTok/YT Shorts,30-45s,Pool edge,,,None,Standard,Yes,,,,,Gentle pace - this is the trust-building piece
TS-04,Trauma-Informed Water Safety,Planned,Medium,YouTube Tutorial,What a Good Swim Coach Does for a Scared Adult,Coach interview + demonstration; consent + pace + cues,General,YouTube long-form,5-7 min,Pool + on-deck,,,Mic,Standard,Yes (Daniel + creator),,,,,Strong differentiator content - position SwimBuddz as safe
TS-05,Trauma-Informed Water Safety,Planned,Low,Reel/Short,The Cue I Repeat in My Head When I Swim,Creator personal voice; affirmation/mantra; calming framing,General,IG/TikTok/YT Shorts,30s,Pool deck,,,None,Standard,No,,,,,Authentic creator voice - low production
PE-01,Pool Etiquette + First-Time Guide,Planned,Medium,YouTube Tutorial,What to Pack for Your First Pool Session,Bag walkthrough; goggles cap suit towel sunscreen flip-flops,,YouTube long-form,3-5 min,Locker room + on-deck,,,Full pool bag,Standard,Yes,,,,,Cross-link with YT-08 skincare content
PE-02,Pool Etiquette + First-Time Guide,Planned,Medium,Reel/Short,Lane Etiquette - Sharing Passing Resting,Demo: split vs circle swim; passing rules; rest at wall,,IG/TikTok/YT Shorts,45-60s,Pool,,,None,Standard,Yes (2nd swimmer),,,,,Need second swimmer for demo - use creator + coach
PE-03,Pool Etiquette + First-Time Guide,Planned,Medium,Reel/Short,Pre-Pool Shower - Yes It Matters,Quick shower demo; why hygiene matters in shared pools,,IG/TikTok/YT Shorts,30s,Locker room,,,None,Modest swim attire,No,,,,,Tasteful framing - show shower stall not body
PE-04,Pool Etiquette + First-Time Guide,Planned,Low,YouTube Tutorial,What to Expect at Your First SwimBuddz Class,Walkthrough: arrive check-in warm-up class structure debrief,,YouTube long-form,4-6 min,Pool + entrance + deck,,,Multi-location,Standard,Yes (full cohort if possible),,,,,Conversion content - link from website + cohort sales pages
PE-05,Pool Etiquette + First-Time Guide,Planned,Low,Reel/Short,Post-Pool Skin and Hair Routine,Quick rinse + leave-in conditioner + moisturiser,,IG/TikTok/YT Shorts,45-60s,Locker room,,,Hair + skin products,Standard,No,,,,,Cross-promote with YT-08 - reuse setup
